student_id,roll_number,first_name,last_name,gender,date_of_birth,email,phone,department_id,academic_year_id,semester_id,is_active,profile_id,profile_name,attendance_min,attendance_max,assignment_min,assignment_max,cie_min,cie_max,see_min,see_max,dropout_probability,academic_record_id,semester_id_academic,academic_year_id_academic,credits_registered,credits_earned,sgpa,cgpa,failed_courses,backlog_courses,semester_result,registration_id,course_offering_id,mentor_id,registration_status,is_repeat,attendance_percentage,assignment_completion,lms_activity_score,marks_id,cie_marks,see_marks,total_marks,grade_letter,grade_point,credit_points,credits_registered_marks,credits_earned_marks,result
ST000001,AIML2023001,Samuel,Kunda,Male,2006-01-08,samuel.kunda1@student.college.edu,7931589067,DEP000001,AY000004,SEM000007,True,PRO000001,Average,65,85,60,80,10,24,30,58,0.0,AR000001,SEM000007,AY000004,16.0,16.0,7.0,7.0,0,0,PASS,REG000001,CO000025,MN000010,REGISTERED,False,81.0,80.0,74.0,MK000001,22.0,54.0,76.0,A,8.0,32.0,4.0,4.0,PASS
ST000001,AIML2023001,Samuel,Kunda,Male,2006-01-08,samuel.kunda1@student.college.edu,7931589067,DEP000001,AY000004,SEM000007,True,PRO000001,Average,65,85,60,80,10,24,30,58,0.0,AR000001,SEM000007,AY000004,16.0,16.0,7.0,7.0,0,0,PASS,REG000002,CO000026,MN000011,REGISTERED,False,75.0,75.0,63.0,MK000002,19.0,39.0,58.0,B,6.0,24.0,4.0,4.0,PASS
ST000001,AIML2023001,Samuel,Kunda,Male,2006-01-08,samuel.kunda1@student.college.edu,7931589067,DEP000001,AY000004,SEM000007,True,PRO000001,Average,65,85,60,80,10,24,30,58,0.0,AR000001,SEM000007,AY000004,16.0,16.0,7.0,7.0,0,0,PASS,REG000003,CO000027,MN000012,REGISTERED,False,77.0,60.0,68.0,MK000003,19.0,41.0,60.0,B+,7.0,28.0,4.0,4.0,PASS
ST000001,AIML2023001,Samuel,Kunda,Male,2006-01-08,samuel.kunda1@student.college.edu,7931589067,DEP000001,AY000004,SEM000007,True,PRO000001,Average,65,85,60,80,10,24,30,58,0.0,AR000001,SEM000007,AY000004,16.0,16.0,7.0,7.0,0,0,PASS,REG000004,CO000028,MN000013,REGISTERED,False,79.0,76.0,72.0,MK000004,10.0,56.0,66.0,B+,7.0,28.0,4.0,4.0,PASS
ST000002,AIML2023002,Janani,Kurian,Female,2006-03-09,janani.kurian2@student.college.edu,7862370817,DEP000001,AY000004,SEM000007,True,PRO000002,Average,65,85,60,80,10,24,30,58,0.0,AR000002,SEM000007,AY000004,16.0,16.0,7.25,7.25,0,0,PASS,REG000005,CO000025,MN000010,REGISTERED,False,78.0,60.0,77.0,MK000005,11.0,42.0,53.0,B,6.0,24.0,4.0,4.0,PASS
ST000002,AIML2023002,Janani,Kurian,Female,2006-03-09,janani.kurian2@student.college.edu,7862370817,DEP000001,AY000004,SEM000007,True,PRO000002,Average,65,85,60,80,10,24,30,58,0.0,AR000002,SEM000007,AY000004,16.0,16.0,7.25,7.25,0,0,PASS,REG000006,CO000026,MN000011,REGISTERED,False,85.0,76.0,77.0,MK000006,19.0,53.0,72.0,A,8.0,32.0,4.0,4.0,PASS
ST000002,AIML2023002,Janani,Kurian,Female,2006-03-09,janani.kurian2@student.college.edu,7862370817,DEP000001,AY000004,SEM000007,True,PRO000002,Average,65,85,60,80,10,24,30,58,0.0,AR000002,SEM000007,AY000004,16.0,16.0,7.25,7.25,0,0,PASS,REG000007,CO000027,MN000012,REGISTERED,False,66.0,66.0,62.0,MK000007,23.0,37.0,60.0,B+,7.0,28.0,4.0,4.0,PASS
ST000002,AIML2023002,Janani,Kurian,Female,2006-03-09,janani.kurian2@student.college.edu,7862370817,DEP000001,AY000004,SEM000007,True,PRO000002,Average,65,85,60,80,10,24,30,58,0.0,AR000002,SEM000007,AY000004,16.0,16.0,7.25,7.25,0,0,PASS,REG000008,CO000028,MN000013,REGISTERED,False,78.0,80.0,73.0,MK000008,24.0,49.0,73.0,A,8.0,32.0,4.0,4.0,PASS
ST000003,AIML2023003,Gabriel,Mittal,Male,2004-01-26,gabriel.mittal3@student.college.edu,6015024174,DEP000001,AY000004,SEM000007,True,PRO000003,Average,65,85,60,80,10,24,30,58,0.0,AR000003,SEM000007,AY000004,12.0,12.0,6.0,6.0,0,0,PASS,REG000009,CO000025,MN000010,CANCELLED,False,67.0,70.0,56.0,,,,,,,,,,
ST000003,AIML2023003,Gabriel,Mittal,Male,2004-01-26,gabriel.mittal3@student.college.edu,6015024174,DEP000001,AY000004,SEM000007,True,PRO000003,Average,65,85,60,80,10,24,30,58,0.0,AR000003,SEM000007,AY000004,12.0,12.0,6.0,6.0,0,0,PASS,REG000010,CO000026,MN000011,REGISTERED,False,82.0,72.0,80.0,MK000009,13.0,45.0,58.0,B,6.0,24.0,4.0,4.0,PASS
ST000003,AIML2023003,Gabriel,Mittal,Male,2004-01-26,gabriel.mittal3@student.college.edu,6015024174,DEP000001,AY000004,SEM000007,True,PRO000003,Average,65,85,60,80,10,24,30,58,0.0,AR000003,SEM000007,AY000004,12.0,12.0,6.0,6.0,0,0,PASS,REG000011,CO000027,MN000012,REGISTERED,False,67.0,66.0,71.0,MK000010,13.0,50.0,63.0,B+,7.0,28.0,4.0,4.0,PASS
ST000003,AIML2023003,Gabriel,Mittal,Male,2004-01-26,gabriel.mittal3@student.college.edu,6015024174,DEP000001,AY000004,SEM000007,True,PRO000003,Average,65,85,60,80,10,24,30,58,0.0,AR000003,SEM000007,AY000004,12.0,12.0,6.0,6.0,0,0,PASS,REG000012,CO000028,MN000013,REGISTERED,False,70.0,65.0,66.0,MK000011,18.0,31.0,49.0,C,5.0,20.0,4.0,4.0,PASS
ST000004,AIML2023004,Upadhriti,Narayanan,Female,2003-12-17,upadhriti.narayanan4@student.college.edu,8782035170,DEP000001,AY000004,SEM000007,True,PRO000004,Declining,40,65,35,60,4,16,15,40,0.0,AR000004,SEM000007,AY000004,12.0,0.0,0.0,0.0,3,3,FAIL,REG000013,CO000025,MN000010,CANCELLED,False,43.0,44.0,37.0,,,,,,,,,,
ST000004,AIML2023004,Upadhriti,Narayanan,Female,2003-12-17,upadhriti.narayanan4@student.college.edu,8782035170,DEP000001,AY000004,SEM000007,True,PRO000004,Declining,40,65,35,60,4,16,15,40,0.0,AR000004,SEM000007,AY000004,12.0,0.0,0.0,0.0,3,3,FAIL,REG000014,CO000026,MN000011,REGISTERED,False,64.0,58.0,50.0,MK000012,4.0,31.0,35.0,F,0.0,0.0,4.0,0.0,FAIL
ST000004,AIML2023004,Upadhriti,Narayanan,Female,2003-12-17,upadhriti.narayanan4@student.college.edu,8782035170,DEP000001,AY000004,SEM000007,True,PRO000004,Declining,40,65,35,60,4,16,15,40,0.0,AR000004,SEM000007,AY000004,12.0,0.0,0.0,0.0,3,3,FAIL,REG000015,CO000027,MN000012,REGISTERED,False,45.0,47.0,48.0,MK000013,6.0,15.0,21.0,F,0.0,0.0,4.0,0.0,FAIL
ST000004,AIML2023004,Upadhriti,Narayanan,Female,2003-12-17,upadhriti.narayanan4@student.college.edu,8782035170,DEP000001,AY000004,SEM000007,True,PRO000004,Declining,40,65,35,60,4,16,15,40,0.0,AR000004,SEM000007,AY000004,12.0,0.0,0.0,0.0,3,3,FAIL,REG000016,CO000028,MN000013,REGISTERED,False,55.0,41.0,48.0,MK000014,10.0,18.0,28.0,F,0.0,0.0,4.0,0.0,FAIL
ST000005,AIML2023005,Isha,Om,Female,2006-01-16,isha.om5@student.college.edu,9676630116,DEP000001,AY000004,SEM000007,True,PRO000005,Good,80,95,75,90,18,28,45,65,0.0,AR000005,SEM000007,AY000004,16.0,16.0,9.0,9.0,0,0,PASS,REG000017,CO000025,MN000010,REGISTERED,False,91.0,77.0,79.0,MK000015,18.0,59.0,77.0,A,8.0,32.0,4.0,4.0,PASS
ST000005,AIML2023005,Isha,Om,Female,2006-01-16,isha.om5@student.college.edu,9676630116,DEP000001,AY000004,SEM000007,True,PRO000005,Good,80,95,75,90,18,28,45,65,0.0,AR000005,SEM000007,AY000004,16.0,16.0,9.0,9.0,0,0,PASS,REG000018,CO000026,MN000011,REGISTERED,False,88.0,86.0,79.0,MK000016,20.0,60.0,80.0,A+,9.0,36.0,4.0,4.0,PASS
ST000005,AIML2023005,Isha,Om,Female,2006-01-16,isha.om5@student.college.edu,9676630116,DEP000001,AY000004,SEM000007,True,PRO000005,Good,80,95,75,90,18,28,45,65,0.0,AR000005,SEM000007,AY000004,16.0,16.0,9.0,9.0,0,0,PASS,REG000019,CO000027,MN000012,REGISTERED,False,87.0,88.0,77.0,MK000017,28.0,62.0,90.0,O,10.0,40.0,4.0,4.0,PASS
ST000005,AIML2023005,Isha,Om,Female,2006-01-16,isha.om5@student.college.edu,9676630116,DEP000001,AY000004,SEM000007,True,PRO000005,Good,80,95,75,90,18,28,45,65,0.0,AR000005,SEM000007,AY000004,16.0,16.0,9.0,9.0,0,0,PASS,REG000020,CO000028,MN000013,REGISTERED,False,84.0,85.0,82.0,MK000018,24.0,59.0,83.0,A+,9.0,36.0,4.0,4.0,PASS
ST000006,AIML2023006,Jeet,Bora,Male,2003-08-07,jeet.bora6@student.college.edu,8317260595,DEP000001,AY000004,SEM000007,True,PRO000006,Average,65,85,60,80,10,24,30,58,0.0,AR000006,SEM000007,AY000004,16.0,16.0,7.5,7.5,0,0,PASS,REG000021,CO000025,MN000010,REGISTERED,False,65.0,65.0,72.0,MK000019,22.0,44.0,66.0,B+,7.0,28.0,4.0,4.0,PASS
ST000006,AIML2023006,Jeet,Bora,Male,2003-08-07,jeet.bora6@student.college.edu,8317260595,DEP000001,AY000004,SEM000007,True,PRO000006,Average,65,85,60,80,10,24,30,58,0.0,AR000006,SEM000007,AY000004,16.0,16.0,7.5,7.5,0,0,PASS,REG000022,CO000026,MN000011,REGISTERED,False,84.0,64.0,77.0,MK000020,17.0,46.0,63.0,B+,7.0,28.0,4.0,4.0,PASS
